Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR
woxic,426,313,637,29,70,1.06,0.94,0.738,0.4484,0,1,16,13,16,0.669
Wicadia,430,313,637,29,72.9,1.05,1.12,0.697,0.0047,0,0,16,13,16,0.675
Calyx,379,313,637,29,64.4,0.96,0.84,0.714,0.0026,0,0,16,13,16,0.595
bLitz,303,227,450,20,80.1,1.06,1.1,0.711,0.0132,1,0,10,8,12,0.673
Senzu,312,227,450,20,74.7,1.09,1.24,0.704,0.0481,0,0,10,8,12,0.693
Techno,303,227,450,20,75,1.05,1.13,0.676,0.0099,0,0,10,8,12,0.673
910,291,227,450,20,63.9,1,0.92,0.682,0.4777,0,1,10,8,12,0.647
mzinho,272,227,450,20,68.1,0.96,0.95,0.676,0.0037,0,0,10,8,12,0.604
slaxz,373,271,549,24,69.5,1.08,1.05,0.716,0.5255,0,1,27,9,15,0.679
s1n ,359,271,549,24,75.4,1.1,1.1,0.734,0.0084,1,0,27,9,15,0.654
Swisher,342,271,549,24,71.2,1.01,1.02,0.699,0.0088,0,0,27,9,15,0.623
reck,334,271,549,24,67.9,0.96,0.89,0.705,0,0,0,27,9,15,0.608
malbsMD,511,339,683,30,81.7,1.17,1.36,0.726,0,0,0,27,9,11,0.748
device,392,297,513,25,81.5,1.29,1.23,0.776,0.4031,1,1,8,17,8,0.764
stavn,377,297,513,25,84.5,1.23,1.31,0.756,0.0265,0,0,8,17,8,0.735
jabbi,386,297,513,25,73.6,1.16,1.14,0.758,0.0052,0,0,8,17,8,0.752
staehr,332,297,513,25,74.6,1.11,1.17,0.741,0.009,0,0,8,17,8,0.647
br0,392,297,513,25,68.5,1.04,0.97,0.75,0.0026,0,0,8,17,8,0.764
tabseN,293,221,448,21,75.3,1.04,1.01,0.723,0.0068,1,0,24,11,10,0.654
Krimbo,313,221,448,21,78.7,1.15,1.13,0.743,0.0192,0,0,24,11,10,0.699
JDC,318,221,448,21,78.5,1.11,1.19,0.728,0,0,0,24,11,10,0.71
syrsoN,276,221,448,21,63.5,0.95,0.88,0.679,0.5652,0,1,24,11,10,0.616
prosus,261,221,448,21,65.9,0.93,0.98,0.71,0,0,0,24,11,10,0.583
gla1ve,213,198,412,21,59.6,0.86,0.79,0.684,0,1,0,25,9,12,0.517
Goofy,263,198,412,21,71.4,1.06,1.08,0.723,0,0,0,25,9,12,0.638
Kylar,273,198,412,21,70.7,1.05,1.15,0.699,0.0037,0,0,25,9,12,0.663
hades,331,198,412,21,81.4,1.26,1.27,0.75,0.4592,0,1,25,9,12,0.803
dycha,248,198,412,21,73.7,0.99,1.03,0.682,0,0,0,25,9,12,0.602
alistair,398,330,698,31,58.4,0.91,0.81,0.683,0.4673,0,1,20,13,18,0.57
INS,517,330,698,31,87.4,1.14,1.24,0.709,0.0097,0,0,20,13,18,0.741
vexite,452,330,698,31,71.5,0.98,1.02,0.678,0.0022,0,0,20,13,18,0.648
dexter,439,330,698,31,71.8,0.94,1.1,0.642,0.0068,1,0,20,13,18,0.629
liazz,395,330,698,31,65.7,0.9,0.75,0.689,0.0051,0,0,20,13,18,0.566
r1nkle,204,143,300,13,67.5,1.06,1.13,0.7,0.5637,0,1,17,5,8,0.68
maxster,213,143,300,13,75.8,1.1,1.06,0.727,0.0047,0,0,17,5,8,0.71
alex,217,143,300,13,75.5,1.13,1.13,0.74,0,1,0,17,5,8,0.723
zorte,184,133,275,13,69.7,1.05,1.12,0.676,0.3696,0,1,21,7,6,0.669
magnojez,199,133,275,13,79.5,1.11,1.14,0.727,0,0,0,21,7,6,0.724
kairon,174,133,275,13,72.7,1.01,0.93,0.72,0.0057,0,0,21,7,6,0.633
s1ren,166,133,275,13,63.2,0.94,0.87,0.68,0,0,0,21,7,6,0.604
nafany,149,133,275,13,61.9,0.89,0.96,0.669,0,1,0,21,7,6,0.542
KRIMZ,151,100,240,10,72.7,1.05,1.05,0.683,0.0132,0,0,22,3,7,0.629
bodyy,132,100,240,10,68.1,0.94,0.93,0.679,0.0076,1,0,22,3,7,0.55
afro,148,100,240,10,64.1,0.95,0.88,0.667,0.4527,0,1,22,3,7,0.617
matys,146,100,240,10,68.5,0.88,0.94,0.621,0.0068,0,0,22,3,7,0.608
Snax,358,297,597,28,69.3,0.97,0.93,0.695,0.0084,1,0,29,9,9,0.6
isak,238,191,370,18,70.8,1.02,0.99,0.7,0.0042,0,0,29,9,9,0.643
volt,240,191,370,18,72.1,1.03,0.94,0.73,0,0,0,29,9,9,0.649
