Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
dycha,248,198,412,21,73.7,0.99,1.03,0.682,0.0,0,0,25,9,12,0.602,-0.05888495575221242,-0.49005088377075545,1.0380530973451272,0.12381301578408857,-0.0,0.0,-0.0,0.0,0.004037453129349736,-0.5124179707218577,-0.5598166330136295,1.0779829521290534
alistair,398,330,698,31,58.4,0.91,0.81,0.683,0.4673,0,1,20,13,18,0.57,-0.09088495575221245,-0.7563604713444033,-14.261946902654877,-1.7010831733814011,-0.015437441592920355,0.05012840827433629,-0.11537761061946901,0.009633720451327488,-0.5090932747368312,-0.25543903643755467,-0.2790671473080285,-1.2860987545936728
INS,517,330,698,31,87.4,1.14,1.24,0.709,0.0097,0,0,20,13,18,0.741,0.08011504424778759,0.6667313872522762,14.73805309734513,1.7578703877819455,-0.0,0.0,0.0,0.0,0.39013503162465485,-0.25543903643755467,-0.2790671473080285,4.535669659350848
vexite,452,330,698,31,71.5,0.98,1.02,0.678,0.0022,0,0,20,13,18,0.648,-0.01288495575221238,-0.10723085163363677,-1.1619469026548757,-0.13859035782140694,-0.0,0.0,-0.0,0.0,-0.006199214718318765,-0.25543903643755467,-0.2790671473080285,1.468912428518609
dexter,439,330,698,31,71.8,0.94,1.1,0.642,0.0068,1,0,20,13,18,0.629,-0.031884955752212396,-0.2653521692554901,-0.8619469026548785,-0.10280807960247614,-0.0,0.0,0.0,0.0,-0.005370612471590878,-0.25543903643755467,-0.35250587028382546,1.2739632683866176
liazz,395,330,698,31,65.7,0.9,0.75,0.689,0.0051,0,0,20,13,18,0.566,-0.09488495575221245,-0.7896491697911092,-6.961946902654873,-0.8303810700540757,-0.0,0.0,-0.0,0.0,-0.3089044302437688,-0.25543903643755467,-0.2790671473080285,-0.20800181739698198
r1nkle,204,143,300,13,67.5,1.06,1.13,0.7,0.5637,0,1,17,5,8,0.68,0.01911504424778765,0.15907873594001104,-5.161946902654876,-0.6156874007404891,-0.00903915398230094,0.08116010318584044,0.04120497345132736,0.5054837894283184,-0.054551653849465614,-0.7693304339947449,-0.8404934991392589,1.0726698684532754
maxster,213,143,300,13,75.8,1.1,1.06,0.727,0.0047,0,0,17,5,8,0.71,0.049115044247787565,0.40874397429030496,3.1380530973451215,0.374288963316606,0.0,0.0,0.0,0.0,0.0014052146651736522,-0.7693304339947449,-0.8404934991392589,1.9439446531328257
alex,217,143,300,13,75.5,1.13,1.13,0.74,0.0,1,0,17,5,8,0.723,0.062115044247787576,0.5169322442420993,2.8380530973451243,0.3385066850976752,0.0,0.0,0.0,0.0,0.029992654533727996,-0.7693304339947449,-1.061675998912748,1.8237555849607543
zorte,184,133,275,13,69.7,1.05,1.12,0.676,0.3696,0,1,21,7,6,0.669,0.00811504424778764,0.0675348152115696,-2.961946902654873,-0.3532840271349936,-0.01479708318584071,0.05323414654867256,0.02332077876106198,0.44884991010265496,-0.027019738412148116,-0.6154842801485911,-0.6724165760623358,1.4104302371560746
magnojez,199,133,275,13,79.5,1.11,1.14,0.727,0.0,0,0,21,7,6,0.724,0.06311504424778758,0.5252544188537759,6.838053097345124,0.8156037280167574,0.0,0.0,0.0,0.0,0.08215091451946734,-0.6154842801485911,-0.6724165760623358,2.750592485327665
kairon,174,133,275,13,72.7,1.01,0.93,0.72,0.0057,0,0,21,7,6,0.633,-0.027884955752212393,-0.23206347080878417,0.038053097345127185,0.004538755054318038,0.0,0.0,-0.0,0.0,0.000698157655981986,-0.6154842801485911,-0.6724165760623358,1.10075686583918
s1ren,166,133,275,13,63.2,0.94,0.87,0.68,0.0,0,0,21,7,6,0.604,-0.05688495575221242,-0.47340653454740245,-9.461946902654873,-1.128566721878502,-0.0,0.0,-0.0,0.0,-0.25567529274415624,-0.6154842801485911,-0.6724165760623358,-0.5300651252323965
nafany,149,133,275,13,61.9,0.89,0.96,0.669,0.0,1,0,21,7,6,0.542,-0.11888495575221236,-0.9893813604713442,-10.761946902654877,-1.2836232608272042,-0.0,0.0,-0.0,0.0,-0.15077151736184385,-0.6154842801485911,-0.8493683066050558,-1.273144445265448
KRIMZ,151,100,240,10,72.7,1.05,1.05,0.683,0.0132,0,0,22,3,7,0.629,-0.031884955752212396,-0.2653521692554901,0.038053097345127185,0.004538755054318038,-0.0,0.0,-0.0,0.0,3.7975102626635077e-05,-0.9338044758539459,-1.020181389870436,0.7190431710310188
bodyy,132,100,240,10,68.1,0.94,0.93,0.679,0.0076,1,0,22,3,7,0.55,-0.11088495575221236,-0.9228039635779322,-4.561946902654881,-0.5441228443026275,-0.0,0.0,-0.0,0.0,-0.08369773759506222,-0.9338044758539459,-1.2886501766784455,-0.8392747221540677
afro,148,100,240,10,64.1,0.95,0.88,0.667,0.4527,0,1,22,3,7,0.617,-0.04388495575221241,-0.3652182645956081,-8.561946902654881,-1.0212198872217095,-0.022198324778761068,0.017338124823008824,-0.08008383185840709,0.12139852965398229,-0.21897758697304345,-0.9338044758539459,-1.020181389870436,-0.5215367238298239
matys,146,100,240,10,68.5,0.88,0.94,0.621,0.0068,0,0,22,3,7,0.608,-0.052884955752212415,-0.44011783610069655,-4.161946902654876,-0.49641314001071857,-0.0,0.0,-0.0,0.0,-0.07034183512514451,-0.9338044758539459,-1.020181389870436,-0.027054201106995635
Snax,358,297,597,28,69.3,0.97,0.93,0.695,0.0084,1,0,29,9,9,0.6,-0.06088495575221242,-0.5066952329941085,-3.3619469026548785,-0.4009937314269024,-0.0,0.0,-0.0,0.0,-0.06168141709478981,-0.5208480565371025,-0.7187703180212015,0.3118593004629977
isak,238,191,370,18,70.8,1.02,0.99,0.7,0.0042,0,0,29,9,9,0.643,-0.017884955752212384,-0.14884172469201923,-1.8619469026548785,-0.22208234033224666,-0.0,0.0,-0.0,0.0,-0.01800957353619507,-0.5208480565371025,-0.5690265017667846,1.0420398596727545
volt,240,191,370,18,72.1,1.03,0.94,0.73,0.0,0,0,29,9,9,0.649,-0.011884955752212378,-0.09890867702196027,-0.5619469026548813,-0.0670258013835453,0.0,0.0,-0.0,0.0,-0.009497568637990174,-0.5208480565371025,-0.5690265017667846,1.2555414511897196
