Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
hunter,1305,1028,2024,91,72.0,1.04,0.97,0.721,0.0046,0,0,5,55,36,0.645,-0.015884955752212382,-0.13219737546866625,-0.6619469026548757,-0.07895322745652168,0.0,0.0,-0.0,0.0,-0.008316660698557719,1.5267748741246976,1.668001549981232,3.4485342863574866
Hooxi,755,731,1440,65,60.6,0.88,0.86,0.699,0.0093,1,0,5,55,36,0.524,-0.13688495575221238,-1.139180503481521,-12.061946902654874,-1.4386797997759058,-0.0,0.0,-0.0,0.0,-0.3433695419148717,1.5267748741246976,2.106949326292083,1.1857194811197846
nexa,1085,913,1797,81,66.1,0.98,0.81,0.72,0.0018,0,0,5,55,36,0.604,-0.05688495575221242,-0.47340653454740245,-6.561946902654881,-0.7826713657621684,0.0,0.0,-0.0,0.0,-0.23423471284274064,1.5267748741246976,1.668001549981232,2.1776889368289205
karrigan,1011,940,1788,82,65.2,0.9,0.96,0.668,0.0129,1,0,6,48,34,0.565,-0.09588495575221245,-0.7979713444027857,-7.461946902654873,-0.8900182004189611,-0.0,0.0,-0.0,0.0,-0.10453954727366725,1.2681691516561808,1.7500734292855296,1.9575443371901156
broky,1350,940,1788,82,75.6,1.17,1.11,0.76,0.3585,0,1,6,48,34,0.755,0.0941150442477876,0.783241831815747,2.9380530973451187,0.3504341111706516,0.015761309734513257,0.2014423522123893,0.019035398230088523,0.43527939557522133,0.02255408599650215,1.2681691516561808,1.3854747981843776,4.775541870530111
ropz,1237,940,1788,82,73.5,1.08,0.98,0.733,0.0178,0,0,6,48,34,0.692,0.03111504424778755,0.258944831280128,0.8380530973451243,0.09995816363813413,0.0,0.0,-0.0,0.0,0.009317634132640237,1.2681691516561808,1.3854747981843776,3.75369542723528
frozen,1276,940,1788,82,80.2,1.14,1.14,0.735,0.0086,0,0,6,48,34,0.714,0.05311504424778757,0.44203267273701086,7.538053097345127,0.8990957105275971,0.0,0.0,0.0,0.0,0.09056056553343123,1.2681691516561808,1.3854747981843776,4.817163746982416
rain,1156,940,1788,82,75.1,1.04,1.1,0.702,0.0,0,0,6,48,34,0.647,-0.01388495575221238,-0.11555302624531325,2.4380530973451187,0.2907969808057663,-0.0,0.0,0.0,0.0,0.015191003448904098,1.2681691516561808,1.3854747981843776,3.5759097561937345
AleksiB,982,712,1873,87,62.4,0.92,0.79,0.698,0.0102,1,0,1,38,27,0.524,-0.13688495575221238,-1.139180503481521,-10.261946902654877,-1.2239861304623192,-0.0,0.0,-0.0,0.0,-0.3959819972619313,0.8148862915647367,1.1245430823593368,0.3653944511535654
w0nderful,1372,712,1873,87,74.2,1.15,1.08,0.738,0.2886,0,1,1,38,27,0.733,0.07211504424778759,0.6001539903588642,1.5380530973451272,0.18345014614897384,0.006338984070796442,0.15574407274336274,0.006665893805309751,0.39610888591327437,0.005136013745763722,0.8148862915647367,0.8902632735344749,3.919368236957988
jL,1341,712,1873,87,79.5,1.14,1.17,0.727,0.006,0,0,1,38,27,0.716,0.05511504424778757,0.45867702196036386,6.838053097345124,0.8156037280167574,0.0,0.0,0.0,0.0,0.1118092319018949,0.8148862915647367,0.8902632735344749,4.2763532554134915
b1t,1341,712,1873,87,75.6,1.11,1.12,0.722,0.0045,0,0,1,38,27,0.716,0.05511504424778757,0.45867702196036386,2.9380530973451187,0.3504341111706516,0.0,0.0,0.0,0.0,0.02680177219251005,0.8148862915647367,0.8902632735344749,3.726176178858
iM,1247,712,1873,87,74.6,1.01,1.09,0.666,0.004,0,0,1,38,27,0.666,0.005115044247787637,0.04256829137654012,1.9380530973451187,0.23115985044088105,-0.0,0.0,0.0,0.0,0.009273669516212356,0.8148862915647367,0.8902632735344749,3.1732650848681083
ELIGE,589,360,782,36,81.4,1.16,1.3,0.738,0.0255,0,0,11,16,20,0.753,0.0921150442477876,0.7665974825923941,8.73805309734513,1.042224823403322,0.0,0.0,0.0,0.0,0.30710556072823014,-0.09725166862976053,-0.10624744797801339,4.0096804187459325
hallzerk,549,360,782,36,73.1,1.09,1.08,0.71,0.326,0,1,11,16,20,0.702,0.04111504424778756,0.34216657739689293,0.43805309734511866,0.05224845934622523,-0.0019675398230088784,0.11545743185840694,0.007529734513274355,0.3988444102831859,0.0014627887250592457,-0.09725166862976053,-0.10624744797801339,2.573017355914943
